vote_2020,Gender,Household_Income,Education,State,Age,Race,cell
Donald Trump,Female,"$70,000 to $74,999",Associate Degree,MS,31 to 40,White,Female 31 to 40
Donald Trump,Female,"$45,000 to $49,999","Completed some college, but no degree",NY,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$45,000 to $49,999",Masters degree,MI,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$35,000 to $39,999","Completed some college, but no degree",MD,21 to 30,White,Female 21 to 30
Donald Trump,Female,"$125,000 to $149,999",Associate Degree,NY,31 to 40,White,Female 31 to 40
Donald Trump,Female,"$55,000 to $59,999",Associate Degree,GA,21 to 30,"Black, or African American",Female 21 to 30
Donald Trump,Female,"$45,000 to $49,999",High school graduate,FL,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$20,000 to $24,999",High school graduate,OK,20 or less,White,Female 20 or less
Donald Trump,Female,"$70,000 to $74,999",Associate Degree,OH,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$30,000 to $34,999",Associate Degree,IN,41 to 50,White,Female 41 to 50
Joe Biden,Female,"$60,000 to $64,999",Associate Degree,MI,21 to 30,"Black, or African American",Female 21 to 30
Donald Trump,Female,"$15,000 to $19,999",High school graduate,TN,61 to 70,White,Female 61 to 70
Joe Biden,Male,"$95,000 to $99,999",Masters degree,CA,41 to 50,White,Male 41 to 50
Joe Biden,Female,"$45,000 to $49,999",Associate Degree,MA,51 to 60,White,Female 51 to 60
Joe Biden,Male,"$30,000 to $34,999",Associate Degree,CA,71 to 80,White,Male 71 to 80
Donald Trump,Male,"$250,000 and above",Masters degree,NY,41 to 50,White,Male 41 to 50
Donald Trump,Female,"$125,000 to $149,999",Associate Degree,AZ,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$30,000 to $34,999",High school graduate,MO,above 80,White,Female above 80
Joe Biden,Female,"$70,000 to $74,999",High school graduate,VA,20 or less,"Black, or African American",Female 20 or less
Donald Trump,Male,"$125,000 to $149,999",Doctorate degree,CO,31 to 40,White,Male 31 to 40
Donald Trump,Male,"$15,000 to $19,999",Doctorate degree,CA,31 to 40,White,Male 31 to 40
Donald Trump,Male,"$175,000 to $199,999",High school graduate,LA,20 or less,White,Male 20 or less
